,,Overall,Conference,SRS,Polls,,Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,CFP High,CFP Final,Coach(es),Bowl,Notes
0,2023,MAC,2,10,0,.167,1,7,0,.125,-18.64,-8.39,,,,,,Joe Moorhead(2-10),,,,,,,,,
1,2022,MAC,2,10,0,.167,1,7,0,.125,-13.49,-5.16,,,,,,Joe Moorhead(2-10),,,,,,,,,
2,2021,MAC,2,10,0,.167,1,7,0,.125,-16.82,-4.41,,,,,,"Tom Arth(2-7),Oscar Rodriguez(0-3)",,,,,,,,,
3,2020,MAC,1,5,0,.167,1,5,0,.167,-8.82,5.52,,,,,,Tom Arth(1-5),,,,,,,,,
4,2019,MAC,0,12,0,.000,0,8,0,.000,-26.64,-7.06,,,,,,Tom Arth(0-12),,,,,,,,,
5,2018,MAC,4,8,0,.333,2,6,0,.250,-11.66,-3.33,,,,,,Terry Bowden(4-8),,,,,,,,,
6,2017,MAC,7,7,0,.500,6,2,0,.750,-4.82,-1.96,,,,,,Terry Bowden(7-7),Boca Raton Bowl(L),,,,,,,,
7,2016,MAC,5,7,0,.417,3,5,0,.375,-6.52,-3.93,,,,,,Terry Bowden(5-7),,,,,,,,,
8,2015,MAC,8,5,0,.615,5,3,0,.625,-0.37,-4.44,,,,,,Terry Bowden(8-5),Famous Idaho Potato Bowl(W),,,,,,,,
9,2014,MAC,5,7,0,.417,3,5,0,.375,-9.23,-7.73,,,,,,Terry Bowden(5-7),,,,,,,,,
10,2013,MAC,5,7,0,.417,4,4,0,.500,-9.86,-4.28,,,,,,Terry Bowden(5-7),,,,,,,,,
11,2012,MAC,1,11,0,.083,0,8,0,.000,-15.31,-4.31,,,,,,Terry Bowden(1-11),,,,,,,,,
12,2011,MAC,1,11,0,.083,0,8,0,.000,-19.11,-3.52,,,,,,Rob Ianello(1-11),,,,,,,,,
13,2010,MAC,1,11,0,.083,1,7,0,.125,-21.54,-6.29,,,,,,Rob Ianello(1-11),,,,,,,,,
14,2009,MAC,3,9,0,.250,2,6,0,.250,-14.65,-4.99,,,,,,J.D. Brookhart(3-9),,,,,,,,,
15,2008,MAC,5,7,0,.417,3,5,0,.375,-6.87,-4.95,,,,,,J.D. Brookhart(5-7),,,,,,,,,
16,2007,MAC,4,8,0,.333,3,5,0,.375,-12.52,-5.27,,,,,,J.D. Brookhart(4-8),,,,,,,,,
17,2006,MAC,5,7,0,.417,3,5,0,.375,-9.70,-6.70,,,,,,J.D. Brookhart(5-7),,,,,,,,,
18,2005,MAC,7,6,0,.538,5,3,0,.625,-5.50,-4.96,,,,,,J.D. Brookhart(7-6),Motor City Bowl(L),,,,,,,,
19,2004,MAC,6,5,0,.545,6,2,0,.750,-9.06,-7.16,,,,,,J.D. Brookhart(6-5),,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2003,MAC,7,5,0,.583,5,3,0,.625,-5.96,-8.62,,,,,,Lee Owens(7-5),,,,,,,,,
22,2002,MAC,4,8,0,.333,3,5,0,.375,-9.42,-4.92,,,,,,Lee Owens(4-8),,,,,,,,,
23,2001,MAC,4,7,0,.364,4,4,0,.500,-9.08,-3.62,,,,,,Lee Owens(4-7),,,,,,,,,
24,2000,MAC,6,5,0,.545,5,3,0,.625,-5.38,-7.65,,,,,,Lee Owens(6-5),,,,,,,,,
25,1999,MAC,7,4,0,.636,5,3,0,.625,-7.63,-9.63,,,,,,Lee Owens(7-4),,,,,,,,,
26,1998,MAC,4,7,0,.364,3,6,0,.333,-13.41,-10.50,,,,,,Lee Owens(4-7),,,,,,,,,
27,1997,MAC,2,9,0,.182,2,7,0,.222,-13.11,-0.29,,,,,,Lee Owens(2-9),,,,,,,,,
28,1996,MAC,4,7,0,.364,3,5,0,.375,-16.69,-10.60,,,,,,Lee Owens(4-7),,,,,,,,,
29,1995,MAC,2,9,0,.182,2,6,0,.250,-18.58,-4.67,,,,,,Lee Owens(2-9),,,,,,,,,
30,1994,MAC,1,10,0,.091,1,8,0,.111,-31.17,-13.71,,,,,,Gerry Faust(1-10),,,,,,,,,
31,1993,MAC,5,6,0,.455,4,4,0,.500,-16.66,-14.57,,,,,,Gerry Faust(5-6),,,,,,,,,
32,1992,MAC,7,3,1,.682,5,3,0,.625,-7.97,-11.51,,,,,,Gerry Faust(7-3-1),,,,,,,,,
33,1991,Ind,5,6,0,.455,,,,,-13.90,-9.27,,,,,,Gerry Faust(5-6),,,,,,,,,
34,1990,Ind,3,7,1,.318,,,,,-11.15,-9.15,,,,,,Gerry Faust(3-7-1),,,,,,,,,
35,1989,Ind,6,4,1,.591,,,,,-6.72,-10.18,,,,,,Gerry Faust(6-4-1),,,,,,,,,
36,1988,Ind,5,6,0,.455,,,,,-9.97,-9.70,,,,,,Gerry Faust(5-6),,,,,,,,,
37,1987,Ind,4,7,0,.364,,,,,-17.13,-11.03,,,,,,Gerry Faust(4-7),,,,,,,,,
38,1975,Ind,7,4,0,.636,,,,,-7.70,-10.24,,,,,,Jim Dennison(7-4),,,,,,,,,
